,Station,Year,Month,Day,Night,DayLimit,NightLimit,Day_Label,Night_Label
0,BEN01,2011,2,66.0,56.0,55,45,High,High
1,BEN01,2011,3,66.0,58.0,55,45,High,High
2,BEN01,2011,4,66.0,57.0,55,45,High,High
3,BEN01,2011,5,66.0,56.0,55,45,High,High
4,BEN01,2011,6,67.0,57.0,55,45,High,High
5,BEN01,2011,7,67.0,57.0,55,45,High,High
6,BEN01,2011,8,67.0,59.0,55,45,High,High
7,BEN01,2011,9,66.0,56.0,55,45,High,High
8,BEN01,2011,10,66.0,56.0,55,45,High,High
9,BEN01,2011,11,66.0,56.0,55,45,High,High
10,BEN01,2011,12,67.0,58.0,55,45,High,High
11,BEN02,2011,2,56.0,52.0,65,55,Low,Low
12,BEN02,2011,3,57.0,52.0,65,55,Low,Low
13,BEN02,2011,4,56.0,52.0,65,55,Low,Low
14,BEN02,2011,5,57.0,53.0,65,55,Low,Low
15,BEN02,2011,6,59.0,54.0,65,55,Low,Low
16,BEN02,2011,7,60.0,56.0,65,55,Low,High
17,BEN02,2011,8,58.0,58.0,65,55,Low,High
18,BEN02,2011,9,55.0,54.0,65,55,Low,Low
19,BEN02,2011,10,54.0,53.0,65,55,Low,Low
20,BEN02,2011,11,55.0,53.0,65,55,Low,Low
21,BEN02,2011,12,55.0,53.0,65,55,Low,Low
22,BEN03,2011,2,64.0,51.0,55,45,High,High
23,BEN03,2011,3,53.0,46.0,55,45,Low,High
24,BEN03,2011,4,54.0,47.0,55,45,Low,High
25,BEN03,2011,5,56.0,48.0,55,45,High,High
26,BEN03,2011,6,60.0,51.0,55,45,High,High
27,BEN03,2011,7,59.0,48.0,55,45,High,High
28,BEN03,2011,8,58.0,48.0,55,45,High,High
29,BEN03,2011,9,57.0,48.0,55,45,High,High
30,BEN03,2011,10,55.0,47.0,55,45,High,High
31,BEN03,2011,11,55.0,47.0,55,45,High,High
32,BEN03,2011,12,55.0,46.0,55,45,High,High
33,BEN04,2011,2,65.0,58.0,65,55,High,High
34,BEN04,2011,3,65.0,58.0,65,55,High,High
35,BEN04,2011,4,65.0,58.0,65,55,High,High
36,BEN04,2011,5,65.0,58.0,65,55,High,High
37,BEN04,2011,6,68.0,57.0,65,55,High,High
38,BEN04,2011,7,68.0,57.0,65,55,High,High
39,BEN04,2011,8,66.0,58.0,65,55,High,High
40,BEN04,2011,9,66.0,57.0,65,55,High,High
41,BEN04,2011,10,67.0,59.0,65,55,High,High
42,BEN04,2011,11,68.0,59.0,65,55,High,High
43,BEN04,2011,12,67.0,59.0,65,55,High,High
44,BEN05,2011,2,58.0,59.0,75,70,Low,Low
45,BEN05,2011,3,56.0,55.0,75,70,Low,Low
46,BEN05,2011,4,54.0,51.0,75,70,Low,Low
47,BEN05,2011,5,55.0,52.0,75,70,Low,Low
48,BEN05,2011,6,54.0,51.0,75,70,Low,Low
49,BEN05,2011,7,57.0,53.0,75,70,Low,Low
50,BEN05,2011,8,59.0,55.0,75,70,Low,Low
51,BEN05,2011,9,57.0,56.0,75,70,Low,Low
52,BEN05,2011,10,56.0,56.0,75,70,Low,Low
53,BEN05,2011,11,57.0,76.0,75,70,Low,High
54,BEN05,2011,12,56.0,49.0,75,70,Low,Low
55,CHE 1.00,2011,2,65.0,50.0,50,40,High,High
56,CHE 1.00,2011,3,64.0,51.0,50,40,High,High
57,CHE 1.00,2011,4,65.0,52.0,50,40,High,High
58,CHE 1.00,2011,5,64.0,53.0,50,40,High,High
59,CHE 1.00,2011,6,64.0,53.0,50,40,High,High
60,CHE 1.00,2011,7,64.0,53.0,50,40,High,High
61,CHE 1.00,2011,8,64.0,53.0,50,40,High,High
62,CHE 1.00,2011,9,63.0,52.0,50,40,High,High
63,CHE 1.00,2011,10,64.0,51.0,50,40,High,High
64,CHE 1.00,2011,11,63.0,50.0,50,40,High,High
65,CHE 1.00,2011,12,64.0,51.0,50,40,High,High
66,CHE 2.00,2011,2,77.0,72.0,75,70,High,High
67,CHE 2.00,2011,3,77.0,74.0,75,70,High,High
68,CHE 2.00,2011,4,76.0,71.0,75,70,High,High
69,CHE 2.00,2011,5,76.0,72.0,75,70,High,High
70,CHE 2.00,2011,6,76.0,72.0,75,70,High,High
71,CHE 2.00,2011,7,76.0,72.0,75,70,High,High
72,CHE 2.00,2011,8,76.0,72.0,75,70,High,High
73,CHE 2.00,2011,9,76.0,72.0,75,70,High,High
74,CHE 2.00,2011,10,76.0,72.0,75,70,High,High
75,CHE 2.00,2011,11,75.0,70.0,75,70,High,High
76,CHE 2.00,2011,12,75.0,69.0,75,70,High,Low
77,CHE 3.00,2011,2,67.0,58.0,65,55,High,High
78,CHE 3.00,2011,3,68.0,57.0,65,55,High,High
79,CHE 3.00,2011,4,68.0,58.0,65,55,High,High
80,CHE 3.00,2011,5,68.0,60.0,65,55,High,High
81,CHE 3.00,2011,6,68.0,59.0,65,55,High,High
82,CHE 3.00,2011,7,68.0,60.0,65,55,High,High
83,CHE 3.00,2011,8,68.0,60.0,65,55,High,High
84,CHE 3.00,2011,9,68.0,59.0,65,55,High,High
85,CHE 3.00,2011,10,69.0,58.0,65,55,High,High
86,CHE 3.00,2011,11,69.0,60.0,65,55,High,High
87,CHE 3.00,2011,12,71.0,59.0,65,55,High,High
88,CHE 4.00,2011,2,73.0,61.0,65,55,High,High
89,CHE 4.00,2011,3,72.0,61.0,65,55,High,High
90,CHE 4.00,2011,4,72.0,61.0,65,55,High,High
91,CHE 4.00,2011,5,72.0,63.0,65,55,High,High
92,CHE 4.00,2011,6,73.0,64.0,65,55,High,High
93,CHE 4.00,2011,7,73.0,62.0,65,55,High,High
94,CHE 4.00,2011,8,73.0,63.0,65,55,High,High
95,CHE 4.00,2011,9,73.0,62.0,65,55,High,High
96,CHE 4.00,2011,10,74.0,62.0,65,55,High,High
97,CHE 4.00,2011,11,73.0,61.0,65,55,High,High
98,CHE 4.00,2011,12,72.0,60.0,65,55,High,High
99,CHE 5.00,2011,2,43.0,46.0,55,45,Low,High
100,CHE 5.00,2011,3,43.0,47.0,55,45,Low,High
101,CHE 5.00,2011,4,55.0,48.0,55,45,High,High
102,CHE 5.00,2011,5,67.0,56.0,55,45,High,High
103,CHE 5.00,2011,6,68.0,57.0,55,45,High,High
104,CHE 5.00,2011,7,67.0,56.0,55,45,High,High
105,CHE 5.00,2011,8,68.0,57.0,55,45,High,High
106,CHE 5.00,2011,9,68.0,56.0,55,45,High,High
107,CHE 5.00,2011,10,68.0,55.0,55,45,High,High
108,CHE 5.00,2011,11,68.0,55.0,55,45,High,High
109,CHE 5.00,2011,12,68.0,55.0,55,45,High,High
110,DEL01,2011,2,53.0,50.0,50,40,High,High
111,DEL01,2011,3,53.0,51.0,50,40,High,High
112,DEL01,2011,4,51.0,50.0,50,40,High,High
113,DEL01,2011,5,51.0,51.0,50,40,High,High
114,DEL01,2011,6,52.0,50.0,50,40,High,High
115,DEL01,2011,7,53.0,51.0,50,40,High,High
116,DEL01,2011,8,54.0,54.0,50,40,High,High
117,DEL01,2011,9,52.0,51.0,50,40,High,High
118,DEL01,2011,10,52.0,50.0,50,40,High,High
119,DEL01,2011,11,52.0,49.0,50,40,High,High
120,DEL01,2011,12,52.0,50.0,50,40,High,High
121,DEL02,2011,2,66.0,54.0,65,55,High,Low
122,DEL02,2011,3,66.0,54.0,65,55,High,Low
123,DEL02,2011,4,65.0,55.0,65,55,High,High
124,DEL02,2011,5,65.0,56.0,65,55,High,High
125,DEL02,2011,6,60.0,53.0,65,55,Low,Low
126,DEL02,2011,7,62.0,52.0,65,55,Low,Low
127,DEL02,2011,8,63.0,54.0,65,55,Low,Low
128,DEL02,2011,9,63.0,52.0,65,55,Low,Low
129,DEL02,2011,10,63.0,52.0,65,55,Low,Low
130,DEL02,2011,11,62.0,55.0,65,55,Low,High
131,DEL02,2011,12,61.0,54.0,65,55,Low,Low
132,DEL03,2011,2,54.0,50.0,50,40,High,High
133,DEL03,2011,3,53.0,48.0,50,40,High,High
134,DEL03,2011,4,52.0,49.0,50,40,High,High
135,DEL03,2011,5,52.0,51.0,50,40,High,High
136,DEL03,2011,6,67.0,64.0,50,40,High,High
137,DEL03,2011,7,54.0,50.0,50,40,High,High
138,DEL03,2011,8,54.0,50.0,50,40,High,High
139,DEL03,2011,9,54.0,54.0,50,40,High,High
140,DEL03,2011,10,51.0,49.0,50,40,High,High
141,DEL03,2011,11,51.0,47.0,50,40,High,High
142,DEL03,2011,12,51.0,46.0,50,40,High,High
143,DEL04,2011,2,74.0,73.0,65,55,High,High
144,DEL04,2011,3,73.0,72.0,65,55,High,High
145,DEL04,2011,4,72.0,70.0,65,55,High,High
146,DEL04,2011,5,72.0,70.0,65,55,High,High
147,DEL04,2011,6,73.0,71.0,65,55,High,High
148,DEL04,2011,7,74.0,71.0,65,55,High,High
149,DEL04,2011,8,73.0,70.0,65,55,High,High
150,DEL04,2011,9,73.0,70.0,65,55,High,High
151,DEL04,2011,10,73.0,71.0,65,55,High,High
152,DEL04,2011,11,73.0,71.0,65,55,High,High
153,DEL04,2011,12,73.0,69.0,65,55,High,High
154,DEL05,2011,2,58.0,54.0,50,40,High,High
155,DEL05,2011,3,57.0,54.0,50,40,High,High
156,DEL05,2011,4,56.0,54.0,50,40,High,High
157,DEL05,2011,5,56.0,54.0,50,40,High,High
158,DEL05,2011,6,55.0,55.0,50,40,High,High
159,DEL05,2011,7,55.0,52.0,50,40,High,High
160,DEL05,2011,8,54.0,52.0,50,40,High,High
161,DEL05,2011,9,56.0,54.0,50,40,High,High
162,DEL05,2011,10,57.0,54.0,50,40,High,High
163,DEL05,2011,11,57.0,54.0,50,40,High,High
164,DEL05,2011,12,59.0,54.0,50,40,High,High
165,HYD01,2011,2,72.0,63.0,65,55,High,High
166,HYD01,2011,3,72.0,62.0,65,55,High,High
167,HYD01,2011,4,72.0,63.0,65,55,High,High
168,HYD01,2011,5,72.0,64.0,65,55,High,High
169,HYD01,2011,6,83.0,75.0,65,55,High,High
170,HYD01,2011,7,72.0,63.0,65,55,High,High
171,HYD01,2011,8,73.0,65.0,65,55,High,High
172,HYD01,2011,9,72.0,64.0,65,55,High,High
173,HYD01,2011,10,72.0,63.0,65,55,High,High
174,HYD01,2011,11,73.0,63.0,65,55,High,High
175,HYD01,2011,12,71.0,63.0,65,55,High,High
176,HYD02,2011,2,63.0,57.0,75,70,Low,Low
177,HYD02,2011,3,62.0,56.0,75,70,Low,Low
178,HYD02,2011,4,62.0,57.0,75,70,Low,Low
179,HYD02,2011,5,62.0,56.0,75,70,Low,Low
180,HYD02,2011,6,62.0,55.0,75,70,Low,Low
181,HYD02,2011,7,62.0,54.0,75,70,Low,Low
182,HYD02,2011,8,62.0,54.0,75,70,Low,Low
183,HYD02,2011,9,63.0,56.0,75,70,Low,Low
184,HYD02,2011,10,62.0,58.0,75,70,Low,Low
185,HYD02,2011,11,63.0,58.0,75,70,Low,Low
186,HYD02,2011,12,61.0,56.0,75,70,Low,Low
187,HYD03,2011,2,57.0,49.0,55,45,High,High
188,HYD03,2011,3,58.0,52.0,55,45,High,High
189,HYD03,2011,4,58.0,52.0,55,45,High,High
190,HYD03,2011,5,56.0,49.0,55,45,High,High
191,HYD03,2011,6,57.0,50.0,55,45,High,High
192,HYD03,2011,7,59.0,51.0,55,45,High,High
193,HYD03,2011,8,59.0,51.0,55,45,High,High
194,HYD03,2011,9,83.0,49.0,55,45,High,High
195,HYD03,2011,10,66.0,53.0,55,45,High,High
196,HYD03,2011,11,57.0,50.0,55,45,High,High
197,HYD03,2011,12,56.0,47.0,55,45,High,High
198,HYD04,2011,2,76.0,71.0,50,40,High,High
199,HYD04,2011,3,76.0,71.0,50,40,High,High
200,HYD04,2011,4,76.0,71.0,50,40,High,High
201,HYD04,2011,5,75.0,71.0,50,40,High,High
202,HYD04,2011,6,77.0,73.0,50,40,High,High
203,HYD04,2011,7,77.0,72.0,50,40,High,High
204,HYD04,2011,8,76.0,71.0,50,40,High,High
205,HYD04,2011,9,76.0,71.0,50,40,High,High
206,HYD04,2011,10,75.0,71.0,50,40,High,High
207,HYD04,2011,11,75.0,71.0,50,40,High,High
208,HYD04,2011,12,76.0,69.0,50,40,High,High
209,HYD05,2011,2,53.0,48.0,65,55,Low,Low
210,HYD05,2011,3,53.0,48.0,65,55,Low,Low
211,HYD05,2011,4,53.0,48.0,65,55,Low,Low
212,HYD05,2011,5,53.0,48.0,65,55,Low,Low
213,HYD05,2011,6,53.0,48.0,65,55,Low,Low
214,HYD05,2011,7,53.0,49.0,65,55,Low,Low
215,HYD05,2011,8,55.0,50.0,65,55,Low,Low
216,HYD05,2011,9,56.0,55.0,65,55,Low,High
217,HYD05,2011,10,57.0,55.0,65,55,Low,High
218,HYD05,2011,11,52.0,48.0,65,55,Low,Low
219,HYD05,2011,12,52.0,48.0,65,55,Low,Low
220,KOL01,2011,2,62.0,58.0,75,70,Low,Low
221,KOL01,2011,3,61.0,57.0,75,70,Low,Low
222,KOL01,2011,4,62.0,58.0,75,70,Low,Low
223,KOL01,2011,5,64.0,59.0,75,70,Low,Low
224,KOL01,2011,6,66.0,61.0,75,70,Low,Low
225,KOL01,2011,7,64.0,60.0,75,70,Low,Low
226,KOL01,2011,8,64.0,60.0,75,70,Low,Low
227,KOL01,2011,9,65.0,61.0,75,70,Low,Low
228,KOL01,2011,10,64.0,61.0,75,70,Low,Low
229,KOL01,2011,11,64.0,60.0,75,70,Low,Low
230,KOL01,2011,12,62.0,60.0,75,70,Low,Low
231,KOL02,2011,2,67.0,58.0,65,55,High,High
232,KOL02,2011,3,67.0,60.0,65,55,High,High
233,KOL02,2011,4,67.0,61.0,65,55,High,High
234,KOL02,2011,5,67.0,61.0,65,55,High,High
235,KOL02,2011,6,67.0,61.0,65,55,High,High
236,KOL02,2011,7,67.0,60.0,65,55,High,High
237,KOL02,2011,8,68.0,61.0,65,55,High,High
238,KOL02,2011,9,68.0,60.0,65,55,High,High
239,KOL02,2011,10,67.0,60.0,65,55,High,High
240,KOL02,2011,11,66.0,58.0,65,55,High,High
241,KOL02,2011,12,67.0,57.0,65,55,High,High
242,KOL03,2011,2,55.0,47.0,55,45,High,High
243,KOL03,2011,3,55.0,47.0,55,45,High,High
244,KOL03,2011,4,55.0,50.0,55,45,High,High
245,KOL03,2011,5,55.0,50.0,55,45,High,High
246,KOL03,2011,6,56.0,50.0,55,45,High,High
247,KOL03,2011,7,56.0,52.0,55,45,High,High
248,KOL03,2011,8,56.0,50.0,55,45,High,High
249,KOL03,2011,9,55.0,51.0,55,45,High,High
250,KOL03,2011,10,55.0,51.0,55,45,High,High
251,KOL03,2011,11,53.0,46.0,55,45,Low,High
252,KOL03,2011,12,53.0,47.0,55,45,Low,High
253,KOL04,2011,2,62.0,55.0,50,40,High,High
254,KOL04,2011,3,62.0,55.0,50,40,High,High
255,KOL04,2011,4,61.0,55.0,50,40,High,High
256,KOL04,2011,5,61.0,55.0,50,40,High,High
257,KOL04,2011,6,61.0,54.0,50,40,High,High
258,KOL04,2011,7,61.0,54.0,50,40,High,High
259,KOL04,2011,8,61.0,54.0,50,40,High,High
260,KOL04,2011,9,62.0,54.0,50,40,High,High
261,KOL04,2011,10,61.0,54.0,50,40,High,High
262,KOL04,2011,11,61.0,53.0,50,40,High,High
263,KOL04,2011,12,61.0,52.0,50,40,High,High
264,KOL05,2011,2,63.0,58.0,65,55,Low,High
265,KOL05,2011,3,62.0,56.0,65,55,Low,High
266,KOL05,2011,4,62.0,56.0,65,55,Low,High
267,KOL05,2011,5,62.0,56.0,65,55,Low,High
268,KOL05,2011,6,62.0,56.0,65,55,Low,High
269,KOL05,2011,7,62.0,54.0,65,55,Low,Low
270,KOL05,2011,8,62.0,55.0,65,55,Low,High
271,KOL05,2011,9,62.0,55.0,65,55,Low,High
272,KOL05,2011,10,61.0,56.0,65,55,Low,High
273,KOL05,2011,11,61.0,55.0,65,55,Low,High
274,KOL05,2011,12,62.0,53.0,65,55,Low,Low
275,LUC 1.00,2011,2,64.0,55.0,75,70,Low,Low
276,LUC 1.00,2011,3,63.0,55.0,75,70,Low,Low
277,LUC 1.00,2011,4,62.0,55.0,75,70,Low,Low
278,LUC 1.00,2011,5,62.0,56.0,75,70,Low,Low
279,LUC 1.00,2011,6,63.0,56.0,75,70,Low,Low
280,LUC 1.00,2011,7,73.0,63.0,75,70,Low,Low
281,LUC 1.00,2011,8,63.0,51.0,75,70,Low,Low
282,LUC 1.00,2011,9,62.0,55.0,75,70,Low,Low
283,LUC 1.00,2011,10,61.0,56.0,75,70,Low,Low
284,LUC 1.00,2011,11,73.0,61.0,75,70,Low,Low
285,LUC 1.00,2011,12,73.0,61.0,75,70,Low,Low
286,LUC 2.00,2011,2,73.0,63.0,65,55,High,High
287,LUC 2.00,2011,3,71.0,61.0,65,55,High,High
288,LUC 2.00,2011,4,72.0,62.0,65,55,High,High
289,LUC 2.00,2011,5,72.0,63.0,65,55,High,High
290,LUC 2.00,2011,6,72.0,63.0,65,55,High,High
291,LUC 2.00,2011,7,61.0,72.0,65,55,Low,High
292,LUC 2.00,2011,8,70.0,60.0,65,55,High,High
293,LUC 2.00,2011,9,72.0,62.0,65,55,High,High
294,LUC 2.00,2011,10,72.0,63.0,65,55,High,High
295,LUC 2.00,2011,11,73.0,61.0,65,55,High,High
296,LUC 2.00,2011,12,71.0,61.0,65,55,High,High
297,LUC 3.00,2011,2,54.0,45.0,50,40,High,High
298,LUC 3.00,2011,3,53.0,47.0,50,40,High,High
299,LUC 3.00,2011,4,54.0,50.0,50,40,High,High
300,LUC 3.00,2011,5,54.0,52.0,50,40,High,High
301,LUC 3.00,2011,6,56.0,52.0,50,40,High,High
302,LUC 3.00,2011,7,56.0,51.0,50,40,High,High
303,LUC 3.00,2011,8,55.0,50.0,50,40,High,High
304,LUC 3.00,2011,9,54.0,47.0,50,40,High,High
305,LUC 3.00,2011,10,53.0,46.0,50,40,High,High
306,LUC 3.00,2011,11,53.0,44.0,50,40,High,High
307,LUC 3.00,2011,12,53.0,44.0,50,40,High,High
308,LUC 4.00,2011,2,53.0,46.0,55,45,Low,High
309,LUC 4.00,2011,3,53.0,47.0,55,45,Low,High
310,LUC 4.00,2011,4,54.0,50.0,55,45,Low,High
311,LUC 4.00,2011,5,55.0,50.0,55,45,High,High
312,LUC 4.00,2011,6,59.0,53.0,55,45,High,High
313,LUC 4.00,2011,7,59.0,53.0,55,45,High,High
314,LUC 4.00,2011,8,53.0,45.0,55,45,Low,High
315,LUC 4.00,2011,9,52.0,47.0,55,45,Low,High
316,LUC 4.00,2011,10,53.0,47.0,55,45,Low,High
317,LUC 4.00,2011,11,53.0,50.0,55,45,Low,High
318,LUC 4.00,2011,12,57.0,50.0,55,45,High,High
319,LUC 5.00,2011,2,65.0,56.0,50,40,High,High
320,LUC 5.00,2011,3,62.0,53.0,50,40,High,High
321,LUC 5.00,2011,4,63.0,54.0,50,40,High,High
322,LUC 5.00,2011,5,63.0,58.0,50,40,High,High
323,LUC 5.00,2011,6,63.0,58.0,50,40,High,High
324,LUC 5.00,2011,7,64.0,57.0,50,40,High,High
325,LUC 5.00,2011,8,63.0,56.0,50,40,High,High
326,LUC 5.00,2011,9,63.0,55.0,50,40,High,High
327,LUC 5.00,2011,10,63.0,55.0,50,40,High,High
328,LUC 5.00,2011,11,63.0,54.0,50,40,High,High
329,LUC 5.00,2011,12,61.0,54.0,50,40,High,High
330,MUM01,2011,2,69.0,57.0,50,40,High,High
331,MUM01,2011,3,68.0,57.0,50,40,High,High
332,MUM01,2011,4,67.0,59.0,50,40,High,High
333,MUM01,2011,5,65.0,59.0,50,40,High,High
334,MUM01,2011,6,66.0,59.0,50,40,High,High
335,MUM01,2011,7,66.0,59.0,50,40,High,High
336,MUM01,2011,8,66.0,60.0,50,40,High,High
337,MUM01,2011,9,66.0,62.0,50,40,High,High
338,MUM01,2011,10,65.0,60.0,50,40,High,High
339,MUM01,2011,11,66.0,62.0,50,40,High,High
340,MUM01,2011,12,66.0,61.0,50,40,High,High
341,MUM02,2011,2,70.0,69.0,65,55,High,High
342,MUM02,2011,3,70.0,68.0,65,55,High,High
343,MUM02,2011,4,70.0,68.0,65,55,High,High
344,MUM02,2011,5,70.0,67.0,65,55,High,High
345,MUM02,2011,6,70.0,67.0,65,55,High,High
346,MUM02,2011,7,70.0,66.0,65,55,High,High
347,MUM02,2011,8,71.0,67.0,65,55,High,High
348,MUM02,2011,9,69.0,67.0,65,55,High,High
349,MUM02,2011,10,69.0,67.0,65,55,High,High
350,MUM02,2011,11,69.0,68.0,65,55,High,High
351,MUM02,2011,12,70.0,66.0,65,55,High,High
352,MUM03,2011,2,67.0,64.0,65,55,High,High
353,MUM03,2011,3,66.0,63.0,65,55,High,High
354,MUM03,2011,4,67.0,62.0,65,55,High,High
355,MUM03,2011,5,67.0,62.0,65,55,High,High
356,MUM03,2011,6,68.0,63.0,65,55,High,High
